name,url,remote_testing,adaptive_support,test_type
Salesforce Development (New),/products/product-catalog/view/salesforce-development-new/,Yes,No,K
SAP ABAP (Advanced Level) (New),/products/product-catalog/view/sap-abap-advanced-level-new/,Yes,No,K
SAP ABAP (Intermediate Level) (New),/products/product-catalog/view/sap-abap-intermediate-level-new/,Yes,No,K
SAP Basis (New),/products/product-catalog/view/sap-basis-new/,Yes,No,K
SAP Business Objects WebI (New),/products/product-catalog/view/sap-business-objects-webi-new/,Yes,No,K
SAP BW (Business Warehouse) (New),/products/product-catalog/view/sap-bw-business-warehouse-new/,Yes,No,K
SAP HCM (Human Capital Management) (New),/products/product-catalog/view/sap-hcm-human-capital-management-new/,Yes,No,K
SAP Hybris (New),/products/product-catalog/view/sap-hybris-new/,Yes,No,K
SAP Materials Management (New),/products/product-catalog/view/sap-materials-management-new/,Yes,No,K
SAP SD (Sales and Distribution) (New),/products/product-catalog/view/sap-sd-sales-and-distribution-new/,Yes,No,K
Search Engine Optimization (New),/products/product-catalog/view/search-engine-optimization-new/,Yes,No,K
Selenium (New),/products/product-catalog/view/selenium-new/,Yes,No,K
Shell Scripting (New),/products/product-catalog/view/shell-scripting-new/,Yes,No,K
SHL Verify Interactive - Inductive Reasoning,/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,Yes,No,AS
SHL Verify Interactive – Deductive Reasoning,/products/product-catalog/view/shl-verify-interactive-deductive-reasoning/,Yes,No,AS
SHL Verify Interactive – Numerical Reasoning,/products/product-catalog/view/shl-verify-interactive-numerical-reasoning/,Yes,No,AS
SHL Verify Interactive G+,/products/product-catalog/view/shl-verify-interactive-g/,Yes,No,A
SHL Verify Interactive Numerical Calculation,/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,Yes,No,A
Siebel Development (New),/products/product-catalog/view/siebel-development-new/,Yes,No,K
Smart Interview Live,/products/product-catalog/view/smart-interview-live/,Yes,No,P
Smart Interview Live Coding,/products/product-catalog/view/smart-interview-live-coding/,Yes,No,K
Smart Interview On Demand,/products/product-catalog/view/smart-interview-on-demand/,Yes,No,P
Social Media (New),/products/product-catalog/view/social-media-new/,Yes,No,K
Software Business Analysis,/products/product-catalog/view/software-business-analysis/,Yes,No,K
SonarQube (New),/products/product-catalog/view/sonarqube-new/,Yes,No,K
Spelling (U.S.) (New),/products/product-catalog/view/spelling-u-s-new/,Yes,No,K
Split Screen Typing Test - Form 1,/products/product-catalog/view/split-screen-typing-test-form-1/,Yes,No,AK
Spring (New),/products/product-catalog/view/spring-new/,Yes,No,K
SQL (New),/products/product-catalog/view/sql-new/,Yes,No,K
