name,url,remote_testing,adaptive_support,test_type
OPQ Candidate Report 2.0,/products/product-catalog/view/opq-candidate-report-2-0/,Yes,No,Personality & Behavior
OPQ Emotional Intelligence Report,/products/product-catalog/view/opq-emotional-intelligence-report/,Yes,No,Personality & Behavior
OPQ Leadership Report,/products/product-catalog/view/opq-leadership-report/,Yes,No,Personality & Behavior
OPQ Manager Plus Report,/products/product-catalog/view/opq-manager-plus-report/,Yes,No,Personality & Behavior
OPQ Manager Plus Report 2.0,/products/product-catalog/view/opq-manager-plus-report-2-0/,Yes,No,Personality & Behavior
OPQ Maximising your Learning Report,/products/product-catalog/view/opq-maximising-your-learning-report/,Yes,No,Personality & Behavior
OPQ MQ Sales Report,/products/product-catalog/view/opq-mq-sales-report/,Yes,No,Personality & Behavior
OPQ Premium Plus Report,/products/product-catalog/view/opq-premium-plus-report/,Yes,No,Personality & Behavior
OPQ Premium Plus Report 2.0,/products/product-catalog/view/opq-premium-plus-report-2-0/,Yes,No,Personality & Behavior
OPQ Profile Report,/products/product-catalog/view/opq-profile-report/,Yes,No,Personality & Behavior
OPQ Team Impact Group Development Report,/products/product-catalog/view/opq-team-impact-group-development-report/,Yes,No,Personality & Behavior
OPQ Team Impact Individual Development Report,/products/product-catalog/view/opq-team-impact-individual-development-report/,Yes,No,Personality & Behavior
OPQ Team Impact Selection Report,/products/product-catalog/view/opq-team-impact-selection-report/,Yes,No,Personality & Behavior
OPQ Team Types & Leadership Styles Profile,/products/product-catalog/view/opq-team-types-and-leadership-styles-profile/,Yes,No,Personality & Behavior
OPQ Team Types and Leadership Styles Report,/products/product-catalog/view/opq-team-types-and-leadership-styles-report/,Yes,No,Personality & Behavior
OPQ UCF Development Action Planner Report 1.0,/products/product-catalog/view/opq-ucf-development-action-planner-report/,Yes,No,Personality & Behavior
OPQ UCF Development Action Planner Report 2.0,/products/product-catalog/view/opq-ucf-development-action-planner-report-2-0/,Yes,No,Personality & Behavior
OPQ Universal Competency Report 1.0,/products/product-catalog/view/opq-universal-competency-report/,Yes,No,Personality & Behavior
OPQ Universal Competency Report 2.0,/products/product-catalog/view/opq-universal-competency-report-2-0/,Yes,No,Personality & Behavior
OPQ User and Managers Report,/products/product-catalog/view/opq-user-and-managers-report/,Yes,No,Personality & Behavior
OPQ User Report,/products/product-catalog/view/opq-user-report/,Yes,No,"Personality & Behavior, Simulations"
Oracle DBA (Advanced Level) (New),/products/product-catalog/view/oracle-dba-advanced-level-new/,Yes,No,Knowledge & Skills
Oracle DBA (Entry Level) (New),/products/product-catalog/view/oracle-dba-entry-level-new/,Yes,No,Knowledge & Skills
Oracle PL/SQL (New),/products/product-catalog/view/oracle-plsql-new/,Yes,No,Knowledge & Skills
Oracle WebLogic Server (New),/products/product-catalog/view/oracle-weblogic-server-new/,Yes,No,Knowledge & Skills
Organic Chemistry (New),/products/product-catalog/view/organic-chemistry-new/,Yes,No,Knowledge & Skills
Paint Technology (New),/products/product-catalog/view/paint-technology-new/,Yes,No,Knowledge & Skills
Pediatrics (New),/products/product-catalog/view/pediatrics-new/,Yes,No,Knowledge & Skills
Pega Development (New),/products/product-catalog/view/pega-development-new/,Yes,No,Knowledge & Skills
Perl (New),/products/product-catalog/view/perl-new/,Yes,No,Knowledge & Skills
Petrochemical Engineering (New),/products/product-catalog/view/petrochemical-engineering-new/,Yes,No,Knowledge & Skills
Petroleum Engineering (New),/products/product-catalog/view/petroleum-engineering-new/,Yes,No,Knowledge & Skills
Pharmaceutical Analysis (New),/products/product-catalog/view/pharmaceutical-analysis-new/,Yes,No,Knowledge & Skills
Pharmaceutical Chemistry (New),/products/product-catalog/view/pharmaceutical-chemistry-new/,Yes,No,Knowledge & Skills
Pharmaceutical Science (New),/products/product-catalog/view/pharmaceutical-science-new/,Yes,No,Knowledge & Skills
Pharmaceutics (New),/products/product-catalog/view/pharmaceutics-new/,Yes,No,Knowledge & Skills
Pharmacology (New),/products/product-catalog/view/pharmacology-new/,Yes,No,Knowledge & Skills
PHP (New),/products/product-catalog/view/php-new/,Yes,No,Knowledge & Skills
PJM Development Report,/products/product-catalog/view/pjm-development-report/,Yes,No,"Competencies, Ability & Aptitude, Personality & Behavior"
PJM Selection Report,/products/product-catalog/view/pjm-selection-report/,Yes,No,"Ability & Aptitude, Competencies, Personality & Behavior"
Polymer Engineering (New),/products/product-catalog/view/polymer-engineering-new/,Yes,No,Knowledge & Skills
Power Electronics and Drives (New),/products/product-catalog/view/power-electronics-and-drives-new/,Yes,No,Knowledge & Skills
Power System Engineering (New),/products/product-catalog/view/power-system-engineering-new/,Yes,No,Knowledge & Skills
Prism (New),/products/product-catalog/view/prism-new/,Yes,No,Knowledge & Skills
Production and Industrial Engineering (New),/products/product-catalog/view/production-and-industrial-engineering-new/,Yes,No,Knowledge & Skills
Production Engineering (New),/products/product-catalog/view/production-engineering-new/,Yes,No,Knowledge & Skills
Programming Concepts,/products/product-catalog/view/programming-concepts/,Yes,No,Knowledge & Skills
Project Management (2013),/products/product-catalog/view/project-management-2013/,Yes,No,Knowledge & Skills
Proofreading v1,/products/product-catalog/view/proofreading-v1/,Yes,No,Knowledge & Skills
Python (New),/products/product-catalog/view/python-new/,Yes,No,Knowledge & Skills
